system:index,DISTRICT,ST_NM,date,mean
0_00000000000000000014,Anantnag,Jammu & Kashmir,01-01-2001,66.06934171
0_0000000000000000001f,Badgam,Jammu & Kashmir,01-01-2001,48.98789575
0_0000000000000000002c,Bandipore,Jammu & Kashmir,01-01-2001,81.43960028
0_00000000000000000034,Baramula,Jammu & Kashmir,01-01-2001,51.05850505
0_0000000000000000009f,Doda,Jammu & Kashmir,01-01-2001,44.27751139
0_000000000000000000bc,Ganderbal,Jammu & Kashmir,01-01-2001,95.47113728
0_0000000000000000011b,Kargil,Jammu & Kashmir,01-01-2001,102.5133415
0_00000000000000000121,Kathua,Jammu & Kashmir,01-01-2001,41.22517036
0_00000000000000000130,Kishtwar,Jammu & Kashmir,01-01-2001,73.89976603
0_00000000000000000144,Kulgam,Jammu & Kashmir,01-01-2001,46.37947421
0_00000000000000000146,Kupwara,Jammu & Kashmir,01-01-2001,54.80939419
0_00000000000000000152,Leh (ladakh),Jammu & Kashmir,01-01-2001,95.5411058
0_000000000000000001c1,Pulwama,Jammu & Kashmir,01-01-2001,54.09734473
0_000000000000000001c2,Punch,Jammu & Kashmir,01-01-2001,34.37987033
0_000000000000000001d0,Rajouri,Jammu & Kashmir,01-01-2001,29.30552204
0_000000000000000001d7,Ramban,Jammu & Kashmir,01-01-2001,41.25511453
0_000000000000000001df,Reasi,Jammu & Kashmir,01-01-2001,33.37074527
0_00000000000000000209,Shupiyan,Jammu & Kashmir,01-01-2001,46.67431759
0_00000000000000000226,Srinagar,Jammu & Kashmir,01-01-2001,66.77946052
0_00000000000000000248,Udhampur,Jammu & Kashmir,01-01-2001,32.55365915
0_000000000000000001f0,Samba,Jammu & Kashmir,01-01-2001,32.61629857
0_000000000000000000f8,Jammu,Jammu & Kashmir,01-01-2001,50.54793118
0_00000000000000000063,Chamba,Himachal Pradesh,01-01-2001,56.85927026
0_000000000000000000d7,Hamirpur,Himachal Pradesh,01-01-2001,32.49911542
0_00000000000000000111,Kangra,Himachal Pradesh,01-01-2001,41.2391957
