system:index,WARD_NAME,WARD_NO,date,mean
0_00000000000000000000,HBR Layout,24,01-01-2008,100.1354116
0_00000000000000000006,Maruthi Seva Nagar,59,01-01-2008,94.77567502
0_00000000000000000007,Konena Agrahara,113,01-01-2008,90.91280829
0_00000000000000000008,Benniganahalli,50,01-01-2008,96.2705437
0_00000000000000000009,C V Raman Nagar,57,01-01-2008,86.58093345
0_0000000000000000000a,New Tippasandara,58,01-01-2008,86.58622563
0_0000000000000000000b,Sarvagna Nagar,79,01-01-2008,95.16388918
0_0000000000000000000c,Hoysala Nagar,80,01-01-2008,92.93914652
0_0000000000000000000d,Jeevanbhima Nagar,88,01-01-2008,80.00512082
0_00000000000000000016,Domlur,112,01-01-2008,82.10147562
0_00000000000000000017,Agaram,114,01-01-2008,115.1032332
0_00000000000000000018,Vannarpet,115,01-01-2008,88.28669046
0_0000000000000000002a,Kaveripura,103,01-01-2008,83.48612653
0_00000000000000000030,Mudalapalya,127,01-01-2008,80.51357372
0_00000000000000000031,Nagarabhavi,128,01-01-2008,90.58480605
0_00000000000000000032,Nayandahalli,131,01-01-2008,89.00206609
0_0000000000000000003a,Deepanjali Nagar,158,01-01-2008,67.77777778
0_0000000000000000004f,Hosakerehalli,161,01-01-2008,79.1
0_00000000000000000058,Ejipura,148,01-01-2008,82.47867304
0_00000000000000000059,Koramangala,151,01-01-2008,88.13963439
0_0000000000000000005b,Sarakki,178,01-01-2008,75.14442716
0_0000000000000000005c,Jakkasandra,173,01-01-2008,81.07673243
0_0000000000000000005d,BTM Layout,176,01-01-2008,75.77459356
0_00000000000000000061,Varthuru,149,01-01-2008,107.4804925
0_00000000000000000062,Bellanduru,150,01-01-2008,92.19611455
0_00000000000000000063,Garudachar Playa,82,01-01-2008,80.44538362
0_00000000000000000064,Kadugodi,83,01-01-2008,94.27569118
0_00000000000000000065,Hagadur,84,01-01-2008,102.2557765
0_00000000000000000066,Dodda Nekkundi,85,01-01-2008,82.06934954
0_00000000000000000067,HSR Layout,174,01-01-2008,85.14588159
0_00000000000000000068,Bommanahalli,175,01-01-2008,79.69497548
0_00000000000000000069,Jaraganahalli,186,01-01-2008,88.82593606
0_0000000000000000006a,Puttenahalli,187,01-01-2008,81.98068396
0_0000000000000000006b,Bilekhalli,188,01-01-2008,83.83547173
0_0000000000000000006c,Hongasandra,189,01-01-2008,78.09671844
0_0000000000000000006d,Mangammanapalya,190,01-01-2008,81.76664728
0_0000000000000000006e,Singasandra,191,01-01-2008,83.14485825
0_0000000000000000006f,Arakere,193,01-01-2008,84.64912886
0_00000000000000000070,Uttarahalli,184,01-01-2008,89.55312053
0_00000000000000000072,Begur,192,01-01-2008,88.39656875
0_00000000000000000073,Gottigere,194,01-01-2008,88.7682814
0_00000000000000000074,Konankunte,195,01-01-2008,83.47065961
0_00000000000000000075,Anjanapura,196,01-01-2008,87.15078225
0_00000000000000000076,Kempegowda Ward,1,01-01-2008,93.74612826
0_00000000000000000077,K R Puram,52,01-01-2008,89.1476546
